Coğrafi İşaretin Adı;Ürün Grubu;İl
Amasya Etli Çiçek Bamyası Yemeği;Yemekler ve çorbalar;Amasya
Amasya Patlıcan Pehli;Yemekler ve çorbalar;Amasya
Amasya Misket Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya
Amasya Baklalı Dolması;Yemekler ve çorbalar;Amasya
Amasya Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya
Amasya Keşkeği;Yemekler ve çorbalar;Amasya
Amasya Kaypağı/Amasya Piruhisi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Burmalı Amasya Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Amasya
Suluova Soğanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Amasya
Amasya Ayva Gallesi;Yemekler ve çorbalar;Amasya
Amasya Sıkma Tarhanası;Yemekler ve çorbalar;Amasya
Ankara Döneri;Yemekler ve çorbalar;Ankara
Kızılcahamam Bazlaması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Akyurt Fıtı Çorbası;Yemekler ve çorbalar;Ankara
Şereflikoçhisar Tahinli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Akyurt Toyga Aşı / Akyurt Toyga Çorbası;Yemekler ve çorbalar;Ankara
Çamlıdere Höşmerim Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Akyurt Homaçası;Yemekler ve çorbalar;Ankara
Çubuk Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Çubuk Vişnesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Akyurt Teberik Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Akyurt Tutmaç Aşı /Çorbası;Yemekler ve çorbalar;Ankara
Akyurt Soğuk Çorbası;Yemekler ve çorbalar;Ankara
Beypazarı Kurusu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Çubuk Homaçası;Yemekler ve çorbalar;Ankara
Polatlı Soğanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Akyurt Tandır Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Mamak Kutludüğün Ekşi Maya Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Ankara Tava;Yemekler ve çorbalar;Ankara
Ankara Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Mamak Ravak Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Ankara
Kalecik Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Kalecik Karası Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Kalecik Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Beypazarı Dolması / Beypazarı Yaprak Sarması;Yemekler ve çorbalar;Ankara
Beypazarı Cevizli Tatlı Sucuk;Çikolata, şekerleme ve türevi ürünler;Ankara
Beypazarı Höşmerim Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Ayaş Dutu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Elmadağ Tandır Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara
Ayaş Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Kazan Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara
Kazan Kavurması;Yemekler ve çorbalar;Ankara
Ankara Erkeç Pastırması;İşlenmiş ve işlenmemiş et ürünleri;Ankara
Beypazarı Havuç Lokumu;Çikolata, şekerleme ve türevi ürünler;Ankara
Antalya Piyazı;Yemekler ve çorbalar;Antalya
Manavgat Altın Susamı;Diğer ürünler;Antalya
Alanya Avokadosu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Finike Portakalı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Gazipaşa Çekirdeksiz Narı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Antalya Kabak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Antalya
Antalya Paça Çorbası;Yemekler ve çorbalar;Antalya
Antalya Serpme Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Antalya
Antalya Tavşan Yüreği Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Antalya Topak Kızartması;Yemekler ve çorbalar;Antalya
Alanya Keçiboynuzu / Alanya Harnub;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Alanya Muzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Alanya Yenidünyası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Korkuteli Karyağdı Armudu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Antalya Bergamot Kabuğu Reçeli;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Alanya Gülüklü (Hülüklü) Çorba;Yemekler ve çorbalar;Antalya
Alanya Fıstıklı Limonata;Alkolsüz içecekler;Antalya
Kaş Margaz Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Antalya Turunç Kabuğu Reçeli;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya
Ardahan Çiçek Balı;Bal;Ardahan
Posof Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ardahan
Hanak Tel Peyniri;Peynirler;Ardahan
Posof Elması / Badele Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ardahan
Ardahan Kavılca Buğdayı;Diğer ürünler;Ardahan
Ardahan Kaz Eti;İşlenmiş ve işlenmemiş et ürünleri;Ardahan
Arhavi Termonisi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Artvin
Arhavi Kestane Balı;Bal;Artvin
Şavşat Ketesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Artvin
Hopa Laz Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Artvin
Hopa Hamsili Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Artvin
Hatila Balı;Bal;Artvin
Puçuko;Yemekler ve çorbalar;Artvin
Borçka Demir Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Artvin
Yenipazar Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Söke Peksimeti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Olukbaşı Oğlak Çevirme Kebabı;Yemekler ve çorbalar;Aydın
Kuyucak Portakalı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Dalama Tandırı;Yemekler ve çorbalar;Aydın
Nazilli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Söke Tahinli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Nazilli Kar Helvası;Dondurmalar ve yenilebilir buzlar;Aydın
Sultanhisar Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Söke Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Söke Kulak Çorbası;Yemekler ve çorbalar;Aydın
Söke Tatlı Maya Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Ortaklar Çöp Şiş;Yemekler ve çorbalar;Aydın
Aydın Kabak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Söke Kulak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Aydın Memecik Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
İncirliova Deve Sucuğu;İşlenmiş ve işlenmemiş et ürünleri;Aydın
Germencik Ekşili Tavuk;Yemekler ve çorbalar;Aydın
Bozdoğan Cevizli Sucuğu;Çikolata, şekerleme ve türevi ürünler;Aydın
Karacasu Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Çine Köftesi;Yemekler ve çorbalar;Aydın
Aydın İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Aydın Yuvarlaması;Yemekler ve çorbalar;Aydın
Aydın Yamalak Sarısı Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Aydın Çam Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Aydın Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Dikmen Çiçek Balı / Dikmen Kekik Balı;Bal;Aydın
Bozdoğan Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Aydın
Aydın Enginarı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Aydın
Dedebağ Keşkeği / Karacasu Keşkeği;Yemekler ve çorbalar;Aydın
Ağrı Haşıl Yemeği;Yemekler ve çorbalar;Ağrı
Doğubayazıt Aşure Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ağrı
Ağrı Geven Balı;Bal;Ağrı
Ağrı Yaprak Döneri;Yemekler ve çorbalar;Ağrı
Ağrı Tulum Peyniri;Peynirler;Ağrı
Doğubayazıt Abdigör Köftesi;Yemekler ve çorbalar;Ağrı
Ayvalık Sakızlı Kurabiye;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir
Yağlılar Basma Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir
İvrindi Kelle Peyniri;Peynirler;Balıkesir
Manyas Kazak Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Manyas Kelle Peyniri;Peynirler;Balıkesir
Savaştepe Sarıbeyler Seferberlik Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Balıkesir
Sındırgı Kornişonu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Sındırgı Çıtır Kavun;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir
Ayvalık Karadiken;Yemekler ve çorbalar;Balıkesir
Susurluk Tostu;Yemekler ve çorbalar;Balıkesir
Avşa Ada Karası Şarabı;Biralar ve diğer alkollü içkiler;Balıkesir
Balıkesir Gönen Pirinci;Diğer ürünler;Balıkesir
Savaştepe Mihaliç Kelle Peyniri;Peynirler;Balıkesir
