Coğrafi İşaretin Adı;Ürün Grubu;İl
Gaziantep Yenidünya Kebabı/Antep Yenidünya Kebabı;Yemekler ve çorbalar;Gaziantep
Gaziantep Yeşil Zeytin Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Yoğurtlu Patates/Antep Yoğurtlu Patates;Yemekler ve çorbalar;Gaziantep
Gaziantep Yoğurtlu Taze Fasulye/Antep Yoğurtlu Taze Fasulye;Yemekler ve çorbalar;Gaziantep
Gaziantep İçli Köftesi / Antep İçli Köftesi;Yemekler ve çorbalar;Gaziantep
Gaziantep Pirinçli Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Oğuzeli Narı /Antep Oğuzeli Narı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep Omacı/Antep Omacı/Pisik Köftesi;Yemekler ve çorbalar;Gaziantep
Gaziantep Şekerli Peynirli Böreği/ Antep Şekerli Peynirli Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Şirin Tarhanası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep Sarımsak Aşı;Yemekler ve çorbalar;Gaziantep
Antep Kübban Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Antep Pekmezi / Gaziantep Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Antep Kuruluk Patlıcanı (Gaziantep Kuru Patlıcanı);İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Antep Meyan Şerbeti (Gaziantep Meyan Şerbeti, Antep Meyankökü Şerbeti);Alkolsüz içecekler;Gaziantep
Gaziantep/Antep Çağla Aşı;Yemekler ve çorbalar;Gaziantep
Gaziantep/Antep Sebzeli Kebap;Yemekler ve çorbalar;Gaziantep
Gaziantep/Antep Maş Çorbası;Yemekler ve çorbalar;Gaziantep
Gaziantep/Antep Maş Piyazı;Yemekler ve çorbalar;Gaziantep
Gaziantep/Antep Keme Kebabı;Yemekler ve çorbalar;Gaziantep
Gaziantep Mumbar Dolması/ Antep Mumbar Dolması;Yemekler ve çorbalar;Gaziantep
Antep Köy Kahkesi (Gaziantep Köy Kahkesi);Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep/Antep Firik Pilavı;Yemekler ve çorbalar;Gaziantep
Antep Haylan Kabağı Kurusu / Gaziantep Haylan Kabağı Kurusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
İslahiye Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Antep Karası Kuru Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep Malhıtalı Aşı/Lapası;Yemekler ve çorbalar;Gaziantep
Gaziantep Öz Çorba/Antep Öz Çorba;Yemekler ve çorbalar;Gaziantep
Gaziantep Muhammarası;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Gaziantep
Oğuzeli Nar Ekşisi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Gaziantep
Antep Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Gaziantep/Antep Bakla Tavası;Yemekler ve çorbalar;Gaziantep
Gaziantep/Antep Erik Tavası;Yemekler ve çorbalar;Gaziantep
Antep Kurabiyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Nizip Patlıcanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Sof Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Nizip Nanesi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Gaziantep
Nizip Mızar Havucu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Antep Katmeri;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gaziantep
Gaziantep/Antep Alaca Çorba;Yemekler ve çorbalar;Gaziantep
Oğuzeli Kurutmalığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gaziantep
Çamoluk Şeker Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Giresun Kalınkara Fındığı /Giresun Karası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Giresun Isırganı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Giresun Fındık Ezmesi;Çikolata, şekerleme ve türevi ürünler;Giresun
Giresun Fındık Ezmeli Kadayıf Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Giresun
Şebinkarahisar Karadutu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Giresun Tombul Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Çavuşlu Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Giresun
Giresun Sivri Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Piraziz Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Giresun
Görele Dondurması;Dondurmalar ve yenilebilir buzlar;Giresun
Alucra Oğlak Kebabı;Yemekler ve çorbalar;Giresun
Gümüşhane Dut Pestili;Çikolata, şekerleme ve türevi ürünler;Gümüşhane
Kelkit Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gümüşhane
Kelkit Ketesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gümüşhane
Gümüşhane Deleme Peyniri;Peynirler;Gümüşhane
Şiran Kök Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gümüşhane
Gümüşhane Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gümüşhane
Gümüşhane Kömesi;Çikolata, şekerleme ve türevi ürünler;Gümüşhane
Kürtün Araköy Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gümüşhane
Gümüşhane Şeker Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gümüşhane
Gümüşhane Sironu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gümüşhane
Gümüşhane Kuşburnu Nektarı;Alkolsüz içecekler;Gümüşhane
Çukurca Tahini;Diğer ürünler;Hakkari
Hakkari Girara Huluga;Yemekler ve çorbalar;Hakkari
Yüksekova Çirek Peyniri;Peynirler;Hakkari
Hakkari Gulol;Yemekler ve çorbalar;Hakkari
Gayle Zengil;Yemekler ve çorbalar;Hakkari
Hakkari Kepaye;Yemekler ve çorbalar;Hakkari
Hakkari Lalaped Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hakkari
Hakkari Kadesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hakkari
Hakkâri Kıris;Yemekler ve çorbalar;Hakkari
Hakkâri Doleme;Yemekler ve çorbalar;Hakkari
Hakkâri Doğaba;Yemekler ve çorbalar;Hakkari
Hatay Humusu;Yemekler ve çorbalar;Hatay
Hatay Ali Nazik;Yemekler ve çorbalar;Hatay
Hatay Aşur Yemeği;Yemekler ve çorbalar;Hatay
Hatay Bahtenis Dolması;Yemekler ve çorbalar;Hatay
Hatay Barburi Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Bakla Ezmesi;Yemekler ve çorbalar;Hatay
Hatay Biber Salçası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Cevizli Biber / Hatay Muhammarası;Yemekler ve çorbalar;Hatay
Hatay Halhalı Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Ekşi Aşı;Yemekler ve çorbalar;Hatay
Hatay Fellah Köftesi;Yemekler ve çorbalar;Hatay
Hatay Halavet Kebabı;Yemekler ve çorbalar;Hatay
Hatay Beyaz Balkabağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Ceviz Reçeli;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Belen Tava;Yemekler ve çorbalar;Hatay
Dörtyol Mandarini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Kırıkhan Siyah Havucu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Şiş Börek Çorbası;Yemekler ve çorbalar;Hatay
Hatay Şeyh Mualla Yemeği;Yemekler ve çorbalar;Hatay
Hatay Tandır Kahkesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Hatay Kaytaz Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Hatay Kömbesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Hatay Nar Ekşisi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Hatay
Hatay Oruğu;Yemekler ve çorbalar;Hatay
Hatay Peynirli İrmik Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Hatay Pirzolalı Yaprak Sarması;Yemekler ve çorbalar;Hatay
Hatay Taş Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Hatay Zeytin Salatası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Tel Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Hatay Tepsi Oruğu;Yemekler ve çorbalar;Hatay
Hatay Tuzlu Yoğurt Çorbası;Yemekler ve çorbalar;Hatay
Hatay Yaprak Sarması;Yemekler ve çorbalar;Hatay
Hatay Zahter Salatası / Hatay Kekik Salatası;Yemekler ve çorbalar;Hatay
Antakya Künefesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Samandağ Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Hatay Ispanaklı Börek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Kırıkhan Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Antakya Sürkü (Antakya Çökeleği);Peynirler;Hatay
Antakya Tuzlu Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Hatay
Hatay Kabak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Antakya Zılk Sarması;Yemekler ve çorbalar;Hatay
Antakya Künefelik Peyniri;Peynirler;Hatay
Antakya Küflü Sürkü (Çökeleği);Peynirler;Hatay
Belen Kömürçukuru Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Antakya Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Kırıkhan Havucu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay
Antakya Ekmek Oruğu / Antakya Fış Oruk;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Antakya Sakal Kaldıran Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay
Antakya Carra Peyniri;Peynirler;Hatay
Antakya Kağıt Kebabı;Yemekler ve çorbalar;Hatay
Antakya Külçesi;Yemekler ve çorbalar;Hatay
Sütçüler Kekiği;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Isparta
Isparta Kabune Pilavı;Yemekler ve çorbalar;Isparta
Gelendost Çaltı Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta
Senirkent Banağı;Yemekler ve çorbalar;Isparta
Senirkent Üzüm Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta
Senirkent Dimrit Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta
Isparta Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta
Uluborlu Kuyruğu Sulu Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Isparta
Yalvaç Hamursuzu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Isparta
Uluborlu Banağı;Yemekler ve çorbalar;Isparta
Senirkent Samsa Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Isparta
Sütçüler Kekik Yağı;Diğer ürünler;Isparta
Uluborlu Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta
Iğdır Patlıcan Reçeli;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Iğdır
Iğdır Beyaz Üzümü /Miskalı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Iğdır
Iğdır Bozbaş Yemeği;Yemekler ve çorbalar;Iğdır
Iğdır Kayısısı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Iğdır
Iğdır Omaç Aşı Çorbası;Yemekler ve çorbalar;Iğdır
Iğdır Taş Köfte Yemeği;Yemekler ve çorbalar;Iğdır
Maraş Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kahramanmaraş
Çağlayancerit Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş
Maraş Tarhanası;Yemekler ve çorbalar;Kahramanmaraş
Maraş Ravanda Şerbeti;Alkolsüz içecekler;Kahramanmaraş
Maraş Samsası;Çikolata, şekerleme ve türevi ürünler;Kahramanmaraş
Afşin Koçovası Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş
Andırın Andız Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş
Afşin Tava;Yemekler ve çorbalar;Kahramanmaraş
Maraş Sumak Ekşi Külü;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kahramanmaraş
Kahramanmaraş Bertiz Kabarcık Üzümü / Maraş Bertiz Kabarcık Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş
Andırın Tirşiği;Yemekler ve çorbalar;Kahramanmaraş
Maraş Parmak /Sıkma Peyniri;Peynirler;Kahramanmaraş
Maraş Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş
Kahramanmaraş Çiriş Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kahramanmaraş
Maraş Ekşili Çorba;Yemekler ve çorbalar;Kahramanmaraş
Maraş Sumak Ekşisi Akıtı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kahramanmaraş
Maraş Eli Böğründe / Maraş Yanyana;Yemekler ve çorbalar;Kahramanmaraş
Maraş Fıstık Ezmesi;Çikolata, şekerleme ve türevi ürünler;Kahramanmaraş
Elbistan Kelle Peyniri;Peynirler;Kahramanmaraş
Maraş Kelle Paçası;Yemekler ve çorbalar;Kahramanmaraş
Maraş Dondurması;Dondurmalar ve yenilebilir buzlar;Kahramanmaraş
Yenice Ihlamur Balı;Bal;Karabük
Eflani Hindi Bandırması;Yemekler ve çorbalar;Karabük
Safranbolu Kıtırı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karabük
Safranbolu Maniye Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Karabük
Safranbolu Safranı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Karabük
Safranbolu Çavuş Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Karabük
Safranbolu Lokumu;Çikolata, şekerleme ve türevi ürünler;Karabük
Karaman İlisıra Dolması;Yemekler ve çorbalar;Karaman
Kazımkarabekir Kabak Çekirdeği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Karaman
Karaman Guymak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman
Karaman Ekşikara Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Karaman
Karaman Divle Obruğu Tulum Peyniri;Peynirler;Karaman
Karaman Şebit Pilavı;Yemekler ve çorbalar;Karaman
Ermenek Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman
Karaman Tahinli Pide;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman
Karaman Mayalısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman
Başyayla Karın Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Karaman
Ermenek Batırması;Yemekler ve çorbalar;Karaman
Karaman Kırma Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman
Kars Balı;Bal;Kars
Kars Kaşarı;Peynirler;Kars
Kars Ketesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kars
Kağızman Uzun Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kars
Kars Gravyer Peyniri;Peynirler;Kars
Kars Kaz Eti;İşlenmiş ve işlenmemiş et ürünleri;Kars
Devrekani Hindi Banduması;Yemekler ve çorbalar;Kastamonu
Tosya Pirinci;Diğer ürünler;Kastamonu
Taşköprü Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu
Kastamonu Siyez Buğdayı;Diğer ürünler;Kastamonu
Kastamonu Siyez Bulguru;Diğer ürünler;Kastamonu
İhsangazi Ekşili Pilavı;Yemekler ve çorbalar;Kastamonu
Kastamonu Siyez Unu;Diğer ürünler;Kastamonu
Daday Etli Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu
Taşköprü Kuyu Kebabı;Yemekler ve çorbalar;Kastamonu
Cide Tarhanası;Yemekler ve çorbalar;Kastamonu
Çatalzeytin Fındık Şekeri;Çikolata, şekerleme ve türevi ürünler;Kastamonu
İnebolu Kuzu Kestane;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu
Cide Ceviz Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu
Devrekani Cırık Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu
Kastamonu Kestane Balı;Bal;Kastamonu
Kastamonu Eğşisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu
Kastamonu Pastırması;İşlenmiş ve işlenmemiş et ürünleri;Kastamonu
Kastamonu Kuzu Kestanesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu
Kastamonu Tiridi / Kastamonu Simit Tiridi;Yemekler ve çorbalar;Kastamonu
Kastamonu Çekme Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu
Kastamonu Üryani Eriği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu
Araç Kül Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu
Araç Akdene Göce Çorbası;Yemekler ve çorbalar;Kastamonu
Pınarbaşı Kara Çorba;Yemekler ve çorbalar;Kastamonu
Kastamonu Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu
Tomarza Kabak Çekirdeği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri
Erkilet Kedi Bacağı;Çikolata, şekerleme ve türevi ürünler;Kayseri
Özvatan Çiçek Balı;Bal;Kayseri
Kayseri Yağ Mantısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri
İncesu Karaevrek Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri
Kayseri Çemeni;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kayseri
Akkışla Gilaburusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri
Bünyan Gilaburusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri
Kayseri Yağlaması;Yemekler ve çorbalar;Kayseri
Yamula Patlıcanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kayseri
Kayseri Mantısı;Yemekler ve çorbalar;Kayseri
Kayseri Kavurması;İşlenmiş ve işlenmemiş et ürünleri;Kayseri
Kayseri Katmeri;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri
Kayseri Gül Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri
Kayseri Sucuk İçi;İşlenmiş ve işlenmemiş et ürünleri;Kayseri
Kayseri Cırgalan Biberi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kayseri
Kayseri Börek Aşı/ Kayseri Böre Aşı Çorbası;Yemekler ve çorbalar;Kayseri
Kayseri Nevzinesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri
Kayseri Fırın Ağzı Kebabı;Yemekler ve çorbalar;Kayseri
Pınarbaşı Uzunyayla Çerkes Peyniri;Peynirler;Kayseri
Talas Zincidere Kuru Kaymağı;Peynirler ve tereyağı dışında kalan süt ürünleri;Kayseri
Kayseri Tepsi Mantısı;Yemekler ve çorbalar;Kayseri
Kayseri Pastırması;İşlenmiş ve işlenmemiş et ürünleri;Kayseri
Develi Cıvıklısı;Yemekler ve çorbalar;Kayseri
Kayseri Sucuğu;İşlenmiş ve işlenmemiş et ürünleri;Kayseri
Kayseri Tandır Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri
Talas Çörekotlu Çömlek Peyniri;Peynirler;Kayseri
Kayseri Kurşun Aşı Çorbası;Yemekler ve çorbalar;Kayseri
Kilis Tava;Yemekler ve çorbalar;Kilis
Kilis Şıhılmahşe;Yemekler ve çorbalar;Kilis
Kilis Kırk Semseği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kilis
Kübbülmişviyye;Yemekler ve çorbalar;Kilis
Kilis Kahvaltılık Toz Zahter;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kilis
Kilis Horoz Karası Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kilis
Kilis Ekşili Kebabı;Yemekler ve çorbalar;Kilis
Cennet Çamuru / Kilis Kaymaklı Kırma Künefe;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kilis
Kilis Katmeri;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kilis
Karamürsel Simit Dolması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kocaeli
İzmit Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kocaeli
İzmit Pişmaniyesi;Çikolata, şekerleme ve türevi ürünler;Kocaeli
Gebze Bayram Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kocaeli
Karamürsel Samanlı Zeytini;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kocaeli
Değirmendere Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kocaeli
Kandıra Manda Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Kocaeli
Kandıra Karpuzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kocaeli
Kandıra Dartısı;Peynirler ve tereyağı dışında kalan süt ürünleri;Kocaeli
Konya Kömbesi;Yemekler ve çorbalar;Konya
Konya Kikirdekli Kesme Çorbası;Yemekler ve çorbalar;Konya
Konya Kuru Kabak Sarması;Yemekler ve çorbalar;Konya
Konya Köftü;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Kifayesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Konya Kıtırlı Mantı;Yemekler ve çorbalar;Konya
Konya Kayısı Hoşafı / Konya Zerdali Hoşafı;Diğer ürünler;Konya
Konya Ekşili Kabak;Yemekler ve çorbalar;Konya
Konya Bütümet / Konya Orta;Yemekler ve çorbalar;Konya
Atlantı Dededağ Tulum Peyniri;Peynirler;Konya
Konya Kenevir Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Akşehir Tandır Kebabı;Yemekler ve çorbalar;Konya
Konya Etli Yaprak Sarması;Yemekler ve çorbalar;Konya
Konya Kaygana;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Güneyik Salatası;Yemekler ve çorbalar;Konya
Konya Kara Erik Kavurması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Kakırdaklı Börek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Ildız Kökü Yemeği;Yemekler ve çorbalar;Konya
Konya Höşmerimi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Hassaten Lokma;Yemekler ve çorbalar;Konya
Konya Haside Tatlısı / Konya Kara Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Badem Helvası;Yemekler ve çorbalar;Konya
Konya Fırın Kebabı / Konya Fürun Kebabı;Yemekler ve çorbalar;Konya
Konya Etliekmek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Etli Düğün Pilavı;Yemekler ve çorbalar;Konya
Karapınar Koyun Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Konya
Bozkır Tahini;Diğer ürünler;Konya
Konya Karışık Börek;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Akşehir Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Konya Ekmek Salması;Yemekler ve çorbalar;Konya
Sirkencübin / Sirkengebin;Alkolsüz içecekler;Konya
Konya Tutmaç Çorbası;Yemekler ve çorbalar;Konya
Konya Topalağı;Yemekler ve çorbalar;Konya
Konya Tiridi;Yemekler ve çorbalar;Konya
Akşehir Hersesi;Yemekler ve çorbalar;Konya
Konya Tarhun Çorbası;Yemekler ve çorbalar;Konya
Konya Tandırda Çebiç;Yemekler ve çorbalar;Konya
Konya Patlıcan Bayıldan;Yemekler ve çorbalar;Konya
Konya Patlıcan Tiridi;Yemekler ve çorbalar;Konya
Konya Tandır Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Tandır Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Paça Yahnisi;Yemekler ve çorbalar;Konya
Konya Vişne Tiridi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Konya Peynir Şekeri;Çikolata, şekerleme ve türevi ürünler;Konya
Konya Reyhan Şerbeti;Alkolsüz içecekler;Konya
Konya Tandır Çorbası;Yemekler ve çorbalar;Konya
Konya Zerdesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Ereğli Siyah Havucu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya
Konya Çirli;Yemekler ve çorbalar;Konya
Konya Paluzesi / Konya Palize;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya
Ereğli Kuru Kayısı Yahnisi;Yemekler ve çorbalar;Konya
Ereğli Koyun Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Konya
