food_name,province,tp_group,kcal_group,kcal_100g,n_samples,std_kcal
Konya Kifayesi,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Konya Kıtırlı Mantı,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Kayısı Hoşafı / Konya Zerdali Hoşafı,Konya,Diğer ürünler,diğer,356.8,15,145.07791010350266
Konya Ekşili Kabak,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Bütümet / Konya Orta,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Atlantı Dededağ Tulum Peyniri,Konya,Peynirler,peynir,341.85714285714283,7,44.149098033174546
Konya Kenevir Helvası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Akşehir Tandır Kebabı,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Etli Yaprak Sarması,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Kaygana,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Güneyik Salatası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Kara Erik Kavurması,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Kakırdaklı Börek,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Ildız Kökü Yemeği,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Höşmerimi,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Hassaten Lokma,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Haside Tatlısı / Konya Kara Helvası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Badem Helvası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Fırın Kebabı / Konya Fürun Kebabı,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Etliekmek,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Etli Düğün Pilavı,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Karapınar Koyun Yoğurdu,Konya,Peynirler ve tereyağı dışında kalan süt ürünleri,süt ürünleri,398.0,3,269.56817319557587
Bozkır Tahini,Konya,Diğer ürünler,diğer,356.8,15,145.07791010350266
Konya Karışık Börek,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Akşehir Kirazı,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Konya Ekmek Salması,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Sirkencübin / Sirkengebin,Konya,Alkolsüz içecekler,soft içecekler,72.57142857142857,7,92.75569549962442
Konya Tutmaç Çorbası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Topalağı,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Tiridi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Akşehir Hersesi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Tarhun Çorbası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Tandırda Çebiç,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Patlıcan Bayıldan,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Patlıcan Tiridi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Tandır Ekmeği,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Tandır Böreği,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Paça Yahnisi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Vişne Tiridi,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Peynir Şekeri,Konya,"Çikolata, şekerleme ve türevi ürünler",çikolata/şeker,395.75,8,95.46839417165393
Konya Reyhan Şerbeti,Konya,Alkolsüz içecekler,soft içecekler,72.57142857142857,7,92.75569549962442
Konya Tandır Çorbası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Zerdesi,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Ereğli Siyah Havucu,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Konya Çirli,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Paluzesi / Konya Palize,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Ereğli Kuru Kayısı Yahnisi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Ereğli Koyun Yoğurdu,Konya,Peynirler ve tereyağı dışında kalan süt ürünleri,süt ürünleri,398.0,3,269.56817319557587
Ereğli Beyaz Kirazı,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Çumra Kavunu,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Ahırlı Köpük Helvası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Yağ Somunu,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Cihanbeyli Gömeç Ekmeği,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Akçabelen (Çetmi) Şeker Fasulyesi,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Seydişehir Leblebisi,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Konya Şalgam Gallesi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Çullama,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Seydişehir Karpuzu,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Derbent Fasulyesi,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Ereğli Uzun Kabağı,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Konya Zülbiyesi / Konya Sülbiyesi,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Ovmaç Çorbası,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Sac Arası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Menekşeli Pilav,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Domalan Yemeği,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Cimcik,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Mıkla,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Hüyük Çileği,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Konya Calla Yemeği,Konya,Yemekler ve çorbalar,yemekler ve çorbalar,211.11764705882354,17,101.90306812906884
Konya Bıçakarası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Derebucak Gembos Şeker Fasulyesi,Konya,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,sebze ve meyve,195.3793103448276,29,226.89006365467324
Ilgın Haşhaşlı Kömbe,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Kadınhanı Kömbesi,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Konya Sütlü Selemen,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
Akşehir Peynir Baklavası,Konya,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",hamurişi tatlı,299.6842105263158,19,88.39812254892882
