Coğrafi İşaretin Adı,Ürün Grubu,İl,Kalori
Diyarbakır Kağırdaklı Ekmek / Diyarbakır Kizirikli Ekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Diyarbakır,310
Diyarbakır Paşa Lavaşı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Diyarbakır,297
Diyarbakır Çakıl Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Diyarbakır,223
Diyarbakır Şehriyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Diyarbakır,299
Doğubayazıt Aşure Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ağrı,302
Düzce Fındıklı Tahin Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Düzce,398
Elazığ Taş Ekmeği Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Elazığ,292
Eldivan Yağlı Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çankırı,312
Elmadağ Tandır Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,298
Emet Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,253
Emet Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,345
Emirdağ Yumurtalı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Afyonkarahisar,330
Erbaa Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tokat,331
Ermenek Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Karaman,263
Erzincan Kesme Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzincan,356
Erzurum Pekmezli Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,344
Erzurum Babaanne Pastası / Erzurum Pastası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,373
Erzurum Demir Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,387
Erzurum Dut Çullaması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,260
Erzurum Eriştesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,277
Erzurum Hasıta / Erzurum Hasuta,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,304
Erzurum Hurma Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,280
Erzurum Kadayıf Dolması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,238
Erzurum Kavut Haşılı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,302
Erzurum Kaz Lokması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,257
Erzurum Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,319
Erzurum Kuru Kayısı Kaysefesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,263
Erzurum Lavaş Ekmeği / Erzurum Ecem Ekmeği / Erzurum Acem Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,362
Erzurum Pekmezli Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,268
Erzurum Peynir Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,287
Erzurum Su Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,132
Erzurum Tel Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,250
Erzurum Tuzlu Lokumu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,309
Erzurum Un Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,352
Eskişehir Met Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Eskişehir,235
Eskişehir Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Eskişehir,307
Gaziantep Bülbül Yuvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,310
Gaziantep Dolangel Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,331
Gaziantep Kuymağı/Antep Kuymağı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,250
Gaziantep Pirinçli Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,147
Gaziantep Sebzeli Peynirli Böreği /Antep Sebzeli Peynirli Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,221
Gaziantep Sütlü Zerdesi/Gaziantep Astarlı Sütlacı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,312
Gaziantep Yeşil Zeytin Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,310
Gaziantep Şekerli Peynirli Böreği/ Antep Şekerli Peynirli Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,214
Gaziantep Şirin Tarhanası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,272
Gaziantep Şöbiyeti / Antep Şöbiyeti,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gaziantep,309
Gebze Bayram Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kocaeli,311
Gediz Höşmerimi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,271
Gelibolu Peynir Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Çanakkale,374
Gelveri Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aksaray,319
Gerede Şakşak Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,252
Giresun Fındık Ezmeli Kadayıf Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Giresun,326
Göynük Dik Börek/Göynük Oklava Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,261
Göynük Kabaklı Yufka Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bolu,331
Gümüşhane Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gümüşhane,346
Gümüşhane Sironu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gümüşhane,267
Hakkari Kadesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hakkari,338
Hakkari Lalaped Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hakkari,316
Hamsiköy Sütlacı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Trabzon,333
Hasankale Lavaşı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzurum,376
Hatay Ispanaklı Börek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,290
Hatay Kabak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,270
Hatay Kaytaz Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,264
Hatay Kömbesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,267
Hatay Peynirli İrmik Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,297
Hatay Tandır Kahkesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,313
Hatay Taş Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,311
Hatay Tel Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Hatay,333
Hayrabolu Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Tekirdağ,300
Hopa Hamsili Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Artvin,358
Hopa Laz Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Artvin,189
Ilgın Haşhaşlı Kömbe,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,408
Kabataş Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ordu,325
Kadınhanı Kömbesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,265
Kadınhanı Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,257
Kahramanmaraş Çiriş Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kahramanmaraş,119
Kahta Bademli İrmik Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Adıyaman,291
Kalecik Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,328
Kalecik Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,319
Karacasu Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Aydın,297
Karaman Guymak Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Karaman,266
Karaman Kırma Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Karaman,239
Karaman Mayalısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Karaman,282
Karaman Tahinli Pide,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Karaman,334
Karamürsel Simit Dolması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kocaeli,308
Karataş Kıddesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Adana,250
Kars Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kars,307
Kastamonu Simidi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kastamonu,315
Kastamonu Çekme Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kastamonu,264
Kaymaklı Çöreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Nevşehir,306
Kayseri Gül Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kayseri,302
Kayseri Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kayseri,254
Kayseri Nevzinesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kayseri,314
Kayseri Tandır Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kayseri,142
Kayseri Yağ Mantısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kayseri,343
Kelkit Ketesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gümüşhane,342
Kemaliye Lök Tatlısı / Eğin Lök Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Erzincan,245
Kemalpaşa Tatlısı / Mustafakemalpaşa Peynir Tatlısı / Mustafakemalpaşa Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Bursa,262
Kilis Katmeri,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kilis,320
Kilis Kırk Semseği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kilis,320
Konya Bıçakarası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,320
Konya Etliekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,454
Konya Haside Tatlısı / Konya Kara Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,323
Konya Höşmerimi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,245
Konya Kakırdaklı Börek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,338
Konya Kara Erik Kavurması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,326
Konya Karışık Börek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,287
Konya Kaygana,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,330
Konya Kenevir Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,269
Konya Köftü,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,290
Konya Paluzesi / Konya Palize,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,280
Konya Sac Arası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,303
Konya Sütlü Selemen,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,392
Konya Tandır Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,225
Konya Tandır Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,327
Konya Vişne Tiridi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,235
Konya Yağ Somunu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,281
Konya Zerdesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,343
Konya İrmik Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Konya,302
Kürtün Araköy Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Gümüşhane,257
Kütahya Dolamber Böreği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,171
Kütahya Köpük Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,327
Kütahya Tosunumu,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kütahya,270
Kırşehir Ahi Helvası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kırşehir,308
Kırşehir Höşmerim Tatlısı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Kırşehir,302
Kızılcahamam Bazlaması,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Ankara,274
Malatya Bilik Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,385
Malatya Ekşili Ekmek,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,325
Malatya Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar",Malatya,219
