Coğrafi İşaretin Adı,Ürün Grubu,İl,Kalori
Ereğli Uzun Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,58
Erzincan Üzümlü Sarucu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzincan,58
Erzurum Çaşır Salamurası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzurum,41
Fethiye Kaya İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,64
Finike Portakalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,36
Gaziantep Acur-Biber Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,56
Gaziantep Haylan Kabağı Reçeli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,272
Gaziantep Oğuzeli Narı /Antep Oğuzeli Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,40
Gazipaşa Çekirdeksiz Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,44
Gelendost Çaltı Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Isparta,51
Gemerek Gilaburusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sivas,45
Gemlik Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,34
Gercüş Mezrune Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Batman,51
Gevaş Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,39
Geyve Ayvası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,55
Gezende Eriği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,41
Giresun Isırganı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,65
Giresun Kalınkara Fındığı /Giresun Karası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,42
Giresun Sivri Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,47
Giresun Tombul Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,58
Guldar Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bingöl,38
Gökçealan Osmancık Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,52
Göynük Bombay Fasulye,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bolu,63
Gülnar Kuş Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,34
Gümüldür Mandalinası (Gümüldür Mandarini),İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,52
Gümüşhane Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gümüşhane,53
Gürgentepe Çakıldak Fındığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ordu,58
Gürgentepe Çoban Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ordu,38
Gürsu Deveci Armudu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,37
Gürün Dut Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sivas,55
Hasanağa Enginarı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,53
Hasankeyf Mehina Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Batman,53
Hasenik Pestili,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,53
Hatay Barburi Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,43
Hatay Beyaz Balkabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,52
Hatay Biber Salçası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,53
Hatay Ceviz Reçeli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,343
Hatay Halhalı Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,69
Hatay Zeytin Salatası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,55
Havran Mandalinası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,38
Havran Siyah İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,57
Hekimhan Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,540
Honaz Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,58
Hüyük Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,62
Hınıs Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzurum,42
Isparta Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Isparta,60
Iğdır Beyaz Üzümü /Miskalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Iğdır,54
Iğdır Kayısısı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Iğdır,58
Iğdır Patlıcan Reçeli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Iğdır,269
Kadirli Turpu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Osmaniye,48
Kahramanmaraş Bertiz Kabarcık Üzümü / Maraş Bertiz Kabarcık Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kahramanmaraş,42
Kahta Bademi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adıyaman,612
Kahta Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adıyaman,42
Kale Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,49
Kalecik Karası Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,53
Kaman Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kırşehir,553
Kandıra Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kocaeli,58
Kapıdağ Mor Soğanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,50
Karacabey Soğanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,65
Karacalar Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,47
Karadeniz Ereğli Osmanlı Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Zonguldak,77
Karahallı Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Uşak,56
Karaisalı Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,41
Karaköprü Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,39
Karaköprü Tat Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,55
Karaman Ekşikara Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Karaman,48
Karamanlı Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Burdur,557
Karamanlı Kişnişi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Burdur,55
Karamanlı Rezenesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Burdur,49
Karamürsel Samanlı Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kocaeli,42
Karapürçek Cennet Hurması Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,35
Karnavas Dut Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzurum,46
Kastamonu Eğşisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kastamonu,59
Kastamonu Kuzu Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kastamonu,352
Kastamonu Üryani Eriği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kastamonu,38
Kavacık Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,52
Kavaklıdere Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,594
Kazan Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,41
Kazımkarabekir Kabak Çekirdeği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Karaman,552
Kağızman Uzun Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kars,51
Kaş Margaz Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,39
Keban Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Elazığ,54
Keles Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,56
Kelkit Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gümüşhane,61
Kemaliye Dutu / Eğin Dutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzincan,61
Kemalpaşa Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,36
Keşan Mahmutköy Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Edirne,41
Keşan Siğilli Bamyası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Edirne,55
Kilis Horoz Karası Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kilis,55
Kocaali Hurma Kurusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,55
Konya Kifayesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,89
Korkuteli Karyağdı Armudu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Antalya,56
Koyulhisar Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sivas,61
Kozan Portakalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,60
Kozluk Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Batman,57
Kula Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,347
Kuytucak Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,58
Kuyucak Portakalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,42
Köprübaşı Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,48
Köyceğiz Portakalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,45
Kütahya Pazarlar Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kütahya,51
Kınık Kuru Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,73
Kırkağaç Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,31
Kırıkhan Havucu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,57
Kırıkhan Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,34
Kırıkhan Siyah Havucu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,45
Kırıkkale Kılıçlar Soğanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kırıkkale,61
Kızılinler Bal Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Eskişehir,51
Kışlacık Pırasası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,39
Lapseki Şeftalisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çanakkale,43
Malatya Banazı Karası Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,57
Malatya Dalbastı Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,43
Malatya Kayısı Çekirdeği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,52
Malatya Kayısısı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,50
Manisa Asma Yaprağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,43
Manisa Sultani Çekirdeksiz Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,71
Manyas Kazak Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,56
Maraş Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kahramanmaraş,30
Marmaris Yer Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,512
Melli İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Burdur,43
Meriç Kara Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Edirne,59
Meriç Yer Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Edirne,542
Mersin Kan Portakalı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,49
Midyat Acuru,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mardin,22
Midyat Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mardin,59
Midyat Turşusu / Midyat Acur Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mardin,38
Midyat Zeynebi Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mardin,47
Midyat İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mardin,45
Milas Ekşili Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,43
Milas Yağlı Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,68
Milas Çekişke Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,54
Mut Kayısısı (Yaş Sofralık),İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,37
Muş Çorti Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muş,59
Narman Şeker Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzurum,71
Nevşehir Kabak Çekirdeği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Nevşehir,600
Nevşehir Parmak Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Nevşehir,35
Niksar Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tokat,575
Nizip Mızar Havucu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,63
Nizip Patlıcanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,43
Nuribey Mor Mozaik Kestane Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,54
Ordu Kivisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ordu,58
Ordu Taflan Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ordu,41
Ordu Yayla Pancarı Turşusu / Ordu Dürme Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ordu,49
Orhangazi Gedelek Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,20
Osmancık Kapari Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,40
Osmaneli Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bilecik,47
Osmaniye Yer Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Osmaniye,588
Oğuzeli Kurutmalığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,66
Oğuzlar Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,536
Pamukova Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,46
Piraziz Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,51
Polatlı Soğanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,64
Posof Elması / Badele Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ardahan,36
Posof Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ardahan,62
Pozantı Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,50
Pütürge Dutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Malatya,40
Reşadiye Kırmızı Pezik Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tokat,55
Rize Kokulu Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Rize,52
Safranbolu Maniye Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Karabük,44
Safranbolu Çavuş Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Karabük,51
Salihli Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,46
Samandağ Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Hatay,51
Sandıklı Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,357
Sapanca Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,566
Saruhanlı Çekirdeksiz Beyaz Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Manisa,38
Sason Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Batman,71
Seferihisar Mandalinası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,30
Senirkent Dimrit Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Isparta,48
Senirkent Üzüm Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Isparta,56
Seydişehir Karpuzu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,53
Seydişehir Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,344
Seymen Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tekirdağ,48
Siirt Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Siirt,595
Silifke Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,44
Silopi Behnat İnciri,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şırnak,58
Simav Eynal Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kütahya,54
Simav Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kütahya,243
Sivan Dut Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bingöl,59
Sivas Pezik Turşusu / Sivas Pezik Dal Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sivas,53
Sof Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,58
Sultandağı Gılli Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,56
Sultandağı Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,42
Sultanhisar Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Aydın,44
Suluova Soğanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Amasya,57
Suruç Narı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,56
Suşehri Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sivas,50
Sıhke Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,51
Sındırgı Kornişonu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,63
Sındırgı Çıtır Kavun,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,44
Taraklı Enginarı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Sakarya,55
Tarsus Beyazı Üzüm (Topacık),İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,48
Tarsus Sarıulak Zeytini,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mersin,48
Tavşanlı Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kütahya,361
Taşköprü Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kastamonu,58
Tefenni Rezenesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Burdur,58
Tekirdağ Soğanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tekirdağ,63
Tekirdağ Yapıncak Salamura Asma Yaprağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tekirdağ,50
Tokat Narince Salamura Asma Yaprağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tokat,57
Tokat Üzüm Tarhanası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tokat,47
Tomarza Kabak Çekirdeği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kayseri,563
Torbalı Kuru Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,49
Tufanbeyli Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Adana,51
Tunceli Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tunceli,56
Ula Sarımsağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Muğla,42
Uluborlu Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Isparta,71
Urfa Keten Köyneği Fıstığı / Şanlıurfa Keten Köyneği Fıstığı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,610
Urla Sakız Enginarı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,38
Van Gül Reçeli,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,312
Yalova Aronyası,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Yalova,58
Yalova Kivisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Yalova,56
Yamula Patlıcanı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kayseri,56
Yedisu Horoz Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bingöl,50
Yenice Kırmızı Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çanakkale,41
Yenişehir Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,51
Yomra Elması,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Trabzon,43
Yozgat Aydıncık Bağrıbütün Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Yozgat,60
Çakıl Kestanesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Balıkesir,249
Çameli Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,42
Çamoluk Şeker Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,47
Çanakkale Domatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çanakkale,54
Çatak Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Van,644
Çavuşdağı Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,42
Çay İlçesi Vişnesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,52
Çağlayancerit Cevizi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kahramanmaraş,552
Çemişgezek Ulukale Dutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Tunceli,45
Çermik Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Diyarbakır,45
Çeşme Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,52
Çorum Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,336
Çubuk Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,36
Çubuk Vişnesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Ankara,43
Çukurören Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bilecik,48
Çumra Kavunu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Konya,53
Ödemiş Patatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,İzmir,65
Ömerli Karfoki Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Mardin,59
İncesu Karaevrek Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kayseri,48
İnebolu Kuzu Kestane,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kastamonu,250
İnegöl Cerrah Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,40
İsabey Çekirdeksiz Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Denizli,50
İskilip Turşusu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,47
İskilip Çileği,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Çorum,53
İslahiye Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gaziantep,42
İspir Kuru Fasulyesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Erzurum,55
İznik Müşküle Üzümü,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Bursa,65
Şanlıurfa Biberi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Şanlıurfa,49
Şaphane Vişnesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Kütahya,54
Şebinkarahisar Karadutu,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Giresun,57
Şiran Kök Pekmezi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Gümüşhane,46
Şuhut Patatesi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,Afyonkarahisar,52
Adana Analı Kızlı,Yemekler ve çorbalar,Adana,257
