province,food_name,product_group_tr,product_group_en,kcal_100g
Afyonkarahisar,Afyon Manda Yoğurdu / Afyonkarahisar Manda Yoğurdu,Peynirler ve tereyağı dışında kalan süt ürünleri,Dairy (excluding cheese & butter),398.0
Afyonkarahisar,Afyon Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Meat products,251.875
Afyonkarahisar,Afyon Patlıcan Böreği,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyon Sakala Çarpan Çorbası / Afyonkarahisar Sakala Çarpan Çorbası,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyon Sucuğu,İşlenmiş ve işlenmemiş et ürünleri,Meat products,251.875
Afyonkarahisar,Afyon Tandır Çorbası / Afyonkarahisar Tandır Çorbası,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyon Velense Hamur Aşı / Afyonkarahisar Velense Hamur Aşı,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyon Ağzıaçığı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyonkarahisar Ak Pide / Afyonkarahisar Tırnak Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyonkarahisar Haşhaşlı Katmer,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyonkarahisar Hurma Baklavası / Afyon Hurma Baklavası,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyonkarahisar Mercimekli Pilav / Afyon Mercimekli Pilav,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyonkarahisar Nişan Kurabiyesi / Afyonkarahisar Gelin Kurabiyesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyonkarahisar Patatesli Ekmeği,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyonkarahisar Çullama Köfte,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyonkarahisar Övmesi / Afyon Övmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyon Bükmesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyon İlibada Sarması/Afyon İlibada Dolması/Afyonkarahisar İlibada Sarması/Afyonkarahisar İlibada Dolması,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Sandıklı Haşhaş Ezmesi,Diğer ürünler,Other products,356.8
Afyonkarahisar,Afyon Kebabı,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyonkarahisar Göce Köftesi / Afyon Göce Köftesi,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyon Kaymağı,Peynirler ve tereyağı dışında kalan süt ürünleri,Dairy (excluding cheese & butter),398.0
Afyonkarahisar,Afyonkarahisar Haşhaş Ezmesi,Diğer ürünler,Other products,356.8
Afyonkarahisar,Emirdağ Dolgulu Köftesi,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Afyon Kaymaklı Ekmek Kadayıfı,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Afyon Dana Tandır / Afyonkarahisar Dana Tandır,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Emirdağ Yumurtalı Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Sultandağı Gılli Kirazı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Afyonkarahisar,Sandıklı Saç Eti,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Sandıklı Leblebisi,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
Afyonkarahisar,Sandıklı Kürek Helvası,"Çikolata, şekerleme ve türevi ürünler",Chocolate & confectionery,395.75
Afyonkarahisar,Sandıklı Kapama Yemeği,Yemekler ve çorbalar,Meals & soups,211.11764705882356
Afyonkarahisar,Sandıklı Haşhaşlı Tahinli Pidesi,"Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar","Bakery, pastry & desserts",299.6842105263158
Afyonkarahisar,Nuribey Mor Mozaik Kestane Kabağı,İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar,"Fruits, vegetables & mushrooms",195.3793103448276
