Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Kadirli Andız Tespihi;C2024/000163;23.05.2024;1728;25.04.2025;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Osmaniye;Kadirli Ticaret ve Sanayi Odası;Tescilli
Kadirli Turpu;C2018/121;1.06.2018;531;4.09.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Osmaniye;Kadirli Ticaret Borsası;Tescilli
Kadınhanı Kömbesi;C2022/000182;9.06.2022;1448;9.08.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Kadınhanı Belediyesi;Tescilli
Kadınhanı Tahinli Pidesi;C2010/031;15.06.2010;171;22.02.2013;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Kadınhanı Belediyesi;Tescilli
Kahramanmaraş Bertiz Kabarcık Üzümü / Maraş Bertiz Kabarcık Üzümü;C2021/000272;6.07.2021;1480;5.10.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Kahramanmaraş Hartlap Bıçağı;C2016/079;19.09.2016;300;22.12.2017;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Kahramanmaraş Oyma Çeyiz Sandığı;C2016/085;19.09.2016;305;26.12.2017;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Kahramanmaraş Yemenisi;C2016/078;19.09.2016;339;10.04.2018;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Kahramanmaraş Çiriş Böreği;C2021/000455;3.11.2021;1547;27.02.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Kahta Bademi;C2020/017;17.01.2020;712;5.04.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Adıyaman;Kahta Kaymakamlığı;Tescilli
