Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Gürün Dut Pekmezi;C2017/211;20.11.2017;906;30.09.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas;Gürün Kaymakamlığı;Tescilli
Hakkari Girara Huluga;C2022/000213;18.07.2022;1313;11.01.2023;Mahreç İşareti;Yemekler ve çorbalar;Hakkari;Hakkari Ticaret ve Sanayi Odası;Tescilli
Hakkari Gulol;C2022/000214;17.07.2022;1314;11.01.2023;Mahreç İşareti;Yemekler ve çorbalar;Hakkari;Hakkari Ticaret ve Sanayi Odası;Tescilli
Hakkari Kadesi;C2022/000215;18.07.2022;1315;11.01.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hakkari;Hakkari Ticaret ve Sanayi Odası;Tescilli
Hakkari Kepaye;C2022/000216;17.07.2022;1316;11.01.2023;Mahreç İşareti;Yemekler ve çorbalar;Hakkari;Hakkari Ticaret ve Sanayi Odası;Tescilli
Hakkari Kilimi;C2022/000183;10.06.2022;1356;16.05.2023;Mahreç İşareti;Halılar ve kilimler;Hakkari;Hakkari Ticaret ve Sanayi Odası;Tescilli
Hakkari Lalaped Tatlısı;C2022/000221;18.07.2022;1601;13.06.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hakkari;Hakkari Ticaret ve Sanayi Odası;Tescilli
Hakkâri Doleme;C2017/129;5.09.2017;286;19.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Hakkari;Hakkâri Aşçılar ve Pastacılar Derneği;Tescilli
Hakkâri Doğaba;C2017/130;5.09.2017;287;19.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Hakkari;Hakkâri Aşçılar ve Pastacılar Derneği;Tescilli
Hakkâri Kıris;C2017/131;5.09.2017;288;19.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Hakkari;Hakkâri Aşçılar ve Pastacılar Derneği;Tescilli
Halfeti Karagül / Halfeti Siyah Gül;C2019/131;18.09.2019;684;1.03.2021;Menşe Adı;Diğer ürünler;Şanlıurfa;Halfeti Belediyesi;Tescilli
Hamsiköy Sütlacı;C2017/153;6.10.2017;255;1.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Trabzon;Maçka Esnaf ve Sanatkârlar Odası;Tescilli
Hanak Tel Peyniri;C2020/095;8.04.2020;1563;8.04.2024;Menşe Adı;Peynirler;Ardahan;Ardahan Ticaret ve Sanayi Odası;Tescilli
Hasanağa Enginarı;C2017/248;25.12.2017;533;11.09.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;Bursa Nilüfer Belediyesi;Tescilli
Hasankale Lavaşı;C2019/153;22.10.2019;1020;4.02.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Pasinler Ticaret ve Sanayi Odası;Tescilli
Hasankeyf Mehina Sarımsağı;C2023/000211;15.08.2023;1573;17.04.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Batman;Batman İl Tarım ve Orman Müdürlüğü;Tescilli
Hasenik Pestili;C2021/000343;15.09.2021;1581;29.04.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa;Hilvan Yerel Eylem Grubu Derneği;Tescilli
Hatay Ali Nazik;C2023/000319;27.11.2023;1753;9.07.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Aşur Yemeği;C2024/000053;9.02.2024;1687;9.01.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Bahtenis Dolması;C2024/000253;16.09.2024;1723;21.04.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Bakla Ezmesi;C2023/000306;27.11.2023;1672;17.12.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Barburi Üzümü;C2022/000259;15.08.2022;1730;28.04.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Beyaz Balkabağı;C2023/000113;17.03.2023;1533;1.02.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Biber Salçası;C2020/403;16.11.2020;1656;4.11.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Ceviz Reçeli;C2020/461;30.12.2020;967;8.12.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Cevizli Biber / Hatay Muhammarası;C2023/000286;3.11.2023;1584;6.05.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Defne Sabunu;C2017/020;23.03.2017;219;16.10.2017;Mahreç İşareti;Diğer ürünler;Hatay;Samandağ Kaymakamlığı;Tescilli
Hatay Ekşi Aşı;C2024/000049;9.02.2024;1726;24.04.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Fellah Köftesi;C2024/000050;9.02.2024;1727;24.04.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Halavet Kebabı;C2024/000364;11.12.2024;1766;1.09.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Halhalı Zeytini;C2020/464;31.12.2020;1353;8.05.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Humusu;C2023/000282;3.11.2023;1582;6.05.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Ispanaklı Börek;C2023/000308;27.11.2023;1754;14.07.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Hatay Kabak Tatlısı;C2020/449;30.12.2020;915;5.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Kaytaz Böreği;C2021/000359;25.09.2021;1053;23.03.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;İskenderun Ticaret ve Sanayi Odası;Tescilli
Hatay Kömbesi;C2021/000284;15.07.2021;1173;23.07.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Esnaf ve Sanatkarlar Odası Birliği;Tescilli
Hatay Nar Ekşisi;C2020/441;18.12.2020;1361;24.05.2023;Mahreç İşareti;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Hatay;Antakya Ticaret ve Sanayi Odası;Tescilli
Hatay Oruğu;C2021/000360;25.09.2021;1082;18.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Hatay;İskenderun Ticaret ve Sanayi Odası;Tescilli
Hatay Peynirli İrmik Helvası;C2023/000312;27.11.2023;1669;16.12.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Hatay Pirzolalı Yaprak Sarması;C2024/000254;16.09.2024;1724;21.04.2025;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Sarısı İpeği;C2023/000163;26.05.2023;1775;16.09.2025;Mahreç İşareti;Diğer ürünler;Hatay;Hatay Valiliği, Hatay Mustafa Kemal Üniversitesi;Tescilli
Hatay Tandır Kahkesi;C2024/000073;16.02.2024;1631;15.08.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Hatay Taş Kadayıfı;C2023/000321;27.11.2023;1671;16.12.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Hatay Tel Kadayıfı;C2024/000072;16.02.2024;1630;15.08.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Hatay;Hatay Valiliği;Tescilli
Hatay Tepsi Oruğu;C2023/000316;27.11.2023;1577;17.04.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Tuzlu Yoğurt Çorbası;C2024/000071;16.02.2024;1677;23.12.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Yaprak Sarması;C2024/000070;16.02.2024;1676;23.12.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Zahter Salatası / Hatay Kekik Salatası;C2023/000291;9.11.2023;1617;19.07.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Zeytin Salatası;C2023/000317;27.11.2023;1752;9.07.2025;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Hatay Valiliği;Tescilli
Hatay İpeği;C2017/046;18.05.2017;248;30.11.2017;Mahreç İşareti;Dokumalar;Hatay;Hatay Büyükşehir Belediyesi;Tescilli
Hatay Şeyh Mualla Yemeği;C2023/000314;27.11.2023;1575;17.04.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatay Şiş Börek Çorbası;C2023/000315;27.11.2023;1585;6.05.2024;Mahreç İşareti;Yemekler ve çorbalar;Hatay;Hatay Valiliği;Tescilli
Hatila Balı;C2020/473;31.12.2020;893;17.09.2021;Menşe Adı;Bal;Artvin;Sınırlı Sorumlu Taşlıca Köyü Tarımsal Kalkınma Koopperatifi;Tescilli
Havran Mandalinası;C2021/000552;29.12.2021;1446;9.08.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Havran Belediyesi;Tescilli
Havran Siyah İnciri;C2022/000340;11.10.2022;1382;8.06.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Balıkesir Büyükşehir Belediyesi;Tescilli
Hayrabolu Tatlısı;C2021/014;12.01.2021;839;9.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tekirdağ;Hayrabolu Belediyesi;Tescilli
Hayrabolu Çerkezmüsellim Köftesi / Hayrabolu Çerkezmüsellim Pabuç Köftesi;C2021/000394;4.10.2021;1294;19.12.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Tekirdağ;Hayrabolu Belediyesi;Tescilli
Hekimhan Cevizi;C2016/018;4.03.2016;432;27.05.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Malatya;Fırat Kalkınma Ajansı;Tescilli
Hellim / Halloumi;C2008/046;10.10.2008;133;24.05.2010;Menşe Adı;Peynirler;Yurtdışı;Kıbrıs Türk Sanayi Odası;Tescilli
Helvacı Kilimi;C2023/000239;19.09.2023;1714;7.03.2025;Mahreç İşareti;Halılar ve kilimler;İzmir;Aliağa Belediyesi;Tescilli
Hemşin Çorabı;C2021/000111;10.03.2021;841;9.08.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Rize;Hemşin Belediyesi;Tescilli
Hereke Yün El Halısı;C1996/005;21.06.1996;3;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kocaeli;Körfez Belediyesi;Tescilli
Hereke Yün İpek El Halısı;C1996/004;21.06.1996;2;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kocaeli;Körfez Belediyesi;Tescilli
Hereke İpek Halısı;C1996/001;21.06.1996;1;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kocaeli;Körfez Belediyesi;Tescilli
Honaz Kirazı;C2019/095;1.08.2019;697;22.03.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Denizli;HONAZ ZİRAAT ODASI;Tescilli
Hopa Hamsili Ekmeği;C2019/038;25.03.2019;904;24.09.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Artvin;Hopa Ticaret ve Sanayi Odası;Tescilli
Hopa Laz Böreği;C2017/149;14.09.2017;407;8.01.2019;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Artvin;Hopa Ticaret ve Sanayi Odası;Tescilli
Hüyük Çileği;C2020/094;5.04.2020;722;13.04.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;Hüyük İlçe Tarım ve Orman Müdürlüğü;Tescilli
Hınıs Fasulyesi;C2012/075;8.06.2012;206;27.12.2016;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum;DOĞU ANADOLU TARIMSAL ARAŞTIRMA ENSTİTÜSÜ;Tescilli
Hınıs Köftesi;C2021/000562;31.12.2021;1655;4.11.2024;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Ilgın Haşhaşlı Kömbe;C2023/000155;13.05.2023;1470;19.09.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Ilgın Ticaret ve Sanayi Odası;Tescilli
Isparta Elması;C2020/114;1.06.2020;1431;2.08.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Isparta;Isparta Ticaret Borsası;Tescilli
Isparta Gül Suyu;C2020/422;30.11.2020;899;20.09.2021;Menşe Adı;Diğer ürünler;Isparta;Isparta Ticaret Borsası;Tescilli
Isparta Gülyağı;C2018/011;10.01.2018;421;7.03.2019;Menşe Adı;Diğer ürünler;Isparta;Isparta Ticaret Borsası;Tescilli
Isparta Gülü;C2005/030;1.12.2005;83;13.10.2006;Menşe Adı;Diğer ürünler;Isparta;Süleyman Demirel Üniversitesi;Tescilli
Isparta Kabune Pilavı;C2012/097;20.07.2012;355;30.05.2018;Mahreç İşareti;Yemekler ve çorbalar;Isparta;Isparta Ticaret ve Sanayi Odası;Tescilli
Iğdır Beyaz Üzümü /Miskalı;C2020/046;10.02.2020;829;9.08.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Iğdır;Iğdır Ticaret ve Sanayi Odası;Tescilli
Iğdır Bozbaş Yemeği;C2020/342;21.10.2020;792;2.07.2021;Mahreç İşareti;Yemekler ve çorbalar;Iğdır;Iğdır Ticaret ve Sanayi Odası;Tescilli
Iğdır Kayısısı;C2017/170;1.11.2017;385;17.09.2018;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Iğdır;Iğdır Ticaret ve Sanayi Odası;Tescilli
Iğdır Omaç Aşı Çorbası;C2020/340;19.10.2020;876;26.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Iğdır;Iğdır Ticaret ve Sanayi Odası;Tescilli
Iğdır Patlıcan Reçeli;C2020/100;28.04.2020;975;20.12.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Iğdır;Iğdır İl Tarım ve Orman Müdürlüğü;Tescilli
Iğdır Taş Köfte Yemeği;C2017/085;14.08.2017;276;14.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Iğdır;Iğdır Ticaret ve Sanayi Odası;Tescilli
Işıkeli Nohut Kahvesi;C2022/000044;4.02.2022;1442;7.08.2023;Mahreç İşareti;Alkolsüz içecekler;Çanakkale;Biga Belediyesi, Biga Ticaret ve Sanayi Odası, Biga Ziraat Odası;Tescilli
Jirkan Kilimi;C1996/028;21.06.1996;22;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Van;Van Büyükşehir Belediyesi;Tescilli
Kabataş Helvası;C2011/070;5.10.2011;282;18.12.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ordu;Ordu Kabataş Belediyesi;Tescilli
